pointName,latitude,longitude
p1,1.262740,103.606976
p2,1.276772,103.612184
p3,1.280585,103.617839
p4,1.285542,103.621085
p5,1.294521,103.617338
p6,1.357598,103.640622
p7,1.388405,103.660770
p8,1.406109,103.662911
p9,1.411341,103.670418
p10,1.427653,103.675112
p11,1.433111,103.688917
p12,1.435209,103.695275
p13,1.446358,103.707628
p14,1.452271,103.719537
p15,1.449643,103.729919
p16,1.442480,103.737677
p17,1.437325,103.749760
p18,1.438889,103.754688
p19,1.438572,103.761687
p20,1.449536,103.770435
p21,1.469130,103.802283
p22,1.473191,103.814614
p23,1.468542,103.839688
p24,1.418939,103.901420
p25,1.421624,103.911143
p26,1.402990,103.931480
p27,1.390570,103.937549
p28,1.382950,103.950049
p29,1.383266,103.965440
p30,1.392588,103.976498
p31,1.393337,103.987094
p32,1.373683,104.009084
p33,1.358427,104.034360
p34,1.326914,104.021359
p35,1.324745,104.023596
p36,1.324103,104.032212
p37,1.310706,104.032343
p38,1.309684,104.000674
p39,1.316225,103.979649
p40,1.293553,103.896204
p41,1.264008,103.861176
p42,1.271768,103.852781
p43,1.261048,103.851977
p44,1.250941,103.849130
p45,1.238185,103.837644
p46,1.237003,103.832625
p47,1.256588,103.807110
p48,1.264482,103.803302
p49,1.269716,103.794955
p50,1.254666,103.785818
p51,1.258588,103.778758
p52,1.267974,103.770896
p53,1.279981,103.750308
p54,1.299465,103.703619
p55,1.283874,103.652321
p56,1.265126,103.642091
p57,1.261387,103.622620
